InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-06-09,2000-08-02,121,37,MA+,81.9702,MA-,76.0225,10000.0,-719.6729,-0.072,-719.6729
2000-08-25,2000-09-19,108,16,MA+,85.2009,MA-,78.5097,9280.3271,-722.6488,-0.0779,-1442.3217
2001-01-25,2001-02-13,147,13,MA+,57.8549,MA-,49.8742,8557.6783,-1173.166,-0.1371,-2615.4877
2001-04-25,2001-06-12,194,33,MA+,37.9788,MA-,38.818,7384.5123,162.8013,0.022,-2452.6864
2001-10-22,2002-01-04,260,51,MA+,28.9296,MA-,36.2918,7547.3136,1914.1605,0.2536,-538.5259
2002-01-07,2002-01-23,259,11,MA+,36.4302,MA-,32.5718,9461.4741,-999.3366,-0.1056,-1537.8625
2002-03-14,2002-04-03,263,13,MA+,32.0614,MA-,30.5388,8462.1375,-400.4495,-0.0473,-1938.312
2002-08-22,2002-09-09,362,11,MA+,22.2682,MA-,19.6123,8061.688,-961.4426,-0.1193,-2899.7546
2002-10-22,2002-12-18,345,40,MA+,20.5293,MA-,22.1038,7100.2454,543.2094,0.0765,-2356.5453
2003-01-15,2003-01-28,324,8,MA+,23.5659,MA-,21.429,7643.4547,-692.3399,-0.0906,-3048.8852
2003-03-18,2003-08-12,299,102,MA+,23.1852,MA-,26.3948,6951.1148,959.6714,0.1381,-2089.2138
2003-08-22,2003-11-25,274,66,MA+,28.7739,MA-,30.5301,7910.7862,481.1945,0.0608,-1608.0193
2003-12-05,2003-12-17,275,8,MA+,30.5128,MA-,30.1148,8391.9807,-109.4417,-0.013,-1717.4609
2003-12-24,2004-02-13,267,34,MA+,31.018,MA-,32.3595,8282.5391,358.1682,0.0432,-1359.2928
2004-04-08,2004-05-10,267,21,MA+,32.3249,MA-,30.0055,8640.7072,-619.2819,-0.0717,-1978.5747
2004-06-04,2004-07-15,255,27,MA+,31.4508,MA-,30.568,8021.4253,-225.1048,-0.0281,-2203.6796
2004-09-03,2005-01-11,261,89,MA+,29.8064,MA-,33.5257,7796.3204,970.7411,0.1245,-1232.9384
2005-03-10,2005-03-17,266,5,MA+,32.8616,MA-,31.9879,8767.0616,-232.4154,-0.0265,-1465.3538
2005-05-17,2005-07-05,268,33,MA+,31.7607,MA-,32.0087,8534.6462,66.4583,0.0078,-1398.8955
2005-07-18,2005-08-29,253,30,MA+,33.924,MA-,33.4605,8601.1045,-117.2658,-0.0136,-1516.1613
2005-09-15,2005-09-26,247,7,MA+,34.335,MA-,34.0814,8483.8387,-62.6414,-0.0074,-1578.8027
2005-11-04,2006-01-03,240,39,MA+,34.9822,MA-,35.6365,8421.1973,157.0165,0.0186,-1421.7862
2006-01-09,2006-02-01,229,16,MA+,37.4161,MA-,36.592,8578.2138,-188.7165,-0.022,-1610.5027
2006-03-27,2006-05-11,231,32,MA+,36.2141,MA-,36.5212,8389.4973,70.9257,0.0085,-1539.577
2006-08-21,2007-01-03,250,92,MA+,33.798,MA-,38.2207,8460.423,1105.6796,0.1307,-433.8974
2007-01-16,2007-01-31,239,11,MA+,39.8829,MA-,38.3263,9566.1026,-372.0321,-0.0389,-805.9295
2007-02-09,2007-03-06,234,16,MA+,39.1969,MA-,37.4028,9194.0705,-419.8102,-0.0457,-1225.7397
2007-03-30,2007-08-08,228,90,MA+,38.3328,MA-,42.7222,8774.2603,1000.7725,0.1141,-224.9672
2007-09-07,2007-11-15,228,49,MA+,42.7398,MA-,44.0573,9775.0328,300.3922,0.0307,75.4251
2008-01-02,2008-01-09,222,5,MA+,45.2234,MA-,41.554,10075.4251,-814.6062,-0.0809,-739.1812
2008-04-01,2008-06-19,236,56,MA+,39.2119,MA-,42.3104,9260.8188,731.2386,0.079,-7.9426
2008-08-12,2008-09-08,236,18,MA+,42.1721,MA-,38.886,9992.0574,-775.526,-0.0776,-783.4686
2008-12-19,2008-12-24,347,3,MA+,26.4955,MA-,25.8492,9216.5314,-224.2427,-0.0243,-1007.7113
2008-12-29,2009-01-23,347,17,MA+,25.8581,MA-,25.0437,8992.2887,-282.6041,-0.0314,-1290.3153
2009-02-09,2009-02-25,313,11,MA+,27.788,MA-,25.327,8709.6847,-770.2891,-0.0884,-2060.6045
2009-03-24,2009-07-14,292,77,MA+,27.1689,MA-,31.5614,7939.3955,1282.6225,0.1616,-777.982
2009-07-21,2009-11-04,272,75,MA+,33.7987,MA-,36.9062,9222.018,845.2375,0.0917,67.2555
2009-11-13,2010-02-01,258,52,MA+,38.9056,MA-,38.1872,10067.2555,-185.3395,-0.0184,-118.084
2010-03-03,2010-05-11,243,48,MA+,40.644,MA-,42.1399,9881.916,363.4965,0.0368,245.4125
2010-06-28,2010-07-01,252,3,MA+,40.4958,MA-,38.3221,10245.4125,-547.7778,-0.0535,-302.3653
2010-07-23,2010-08-25,238,23,MA+,40.6658,MA-,38.7693,9697.6347,-451.3527,-0.0465,-753.718
2010-09-14,2011-03-14,219,125,MA+,42.2133,MA-,50.4728,9246.282,1808.825,0.1956,1055.107
2011-04-07,2011-05-26,214,34,MA+,51.4977,MA-,50.9399,11055.107,-119.3728,-0.0108,935.7342
2011-07-08,2011-08-09,206,22,MA+,52.9116,MA-,46.3021,10935.7342,-1361.5441,-0.1245,-425.8099
2011-09-19,2011-10-06,189,13,MA+,50.4893,MA-,48.2941,9574.1901,-414.8876,-0.0433,-840.6975
2011-10-13,2011-11-25,179,30,MA+,51.0313,MA-,47.9328,9159.3025,-554.6406,-0.0606,-1395.3381
2012-01-05,2012-04-24,166,75,MA+,51.7073,MA-,59.0075,8604.6619,1211.8335,0.1408,-183.5046
2012-06-27,2012-10-11,171,74,MA+,57.1401,MA-,61.5579,9816.4954,755.442,0.077,571.9374
2012-12-07,2013-03-04,176,57,MA+,59.9326,MA-,61.662,10571.9374,304.3645,0.0288,876.3019
2013-03-07,2013-06-24,172,75,MA+,62.9749,MA-,64.4835,10876.3019,259.4834,0.0239,1135.7853
2013-07-15,2014-02-05,160,142,MA+,69.5887,MA-,78.6115,11135.7853,1443.6564,0.1296,2579.4417
2014-02-18,2014-03-31,150,29,MA+,83.5625,MA-,82.0165,12579.4417,-231.9046,-0.0184,2347.537
2014-05-14,2014-10-06,150,100,MA+,82.2876,MA-,92.5334,12347.537,1536.8661,0.1245,3884.4032
2014-11-03,2014-12-24,145,36,MA+,95.4462,MA-,98.4049,13884.4032,429.0069,0.0309,4313.4101
2014-12-29,2015-01-08,144,7,MA+,98.9707,MA-,96.4054,14313.4101,-369.3985,-0.0258,3944.0116
2015-02-11,2015-04-06,141,36,MA+,98.5746,MA-,98.7824,13944.0116,29.3008,0.0021,3973.3124
2015-04-21,2015-06-16,136,39,MA+,102.2989,MA-,102.1854,13973.3124,-15.43,-0.0011,3957.8824
2015-06-23,2015-07-06,132,8,MA+,104.9976,MA-,101.6341,13957.8824,-443.9822,-0.0318,3513.9002
2015-07-21,2015-08-24,125,24,MA+,108.0294,MA-,89.2792,13513.9002,-2343.7785,-0.1734,1170.1216
2015-10-14,2015-12-17,110,45,MA+,100.7701,MA-,108.7291,11170.1216,875.4925,0.0784,2045.6142
2016-03-02,2016-05-04,119,44,MA+,100.6587,MA-,100.4127,12045.6142,-29.2784,-0.0024,2016.3358
2016-06-02,2016-06-27,114,17,MA+,105.2284,MA-,99.2527,12016.3358,-681.2318,-0.0567,1335.104
2016-07-13,2016-11-04,105,81,MA+,107.0606,MA-,109.269,11335.104,231.8728,0.0205,1566.9769
2016-11-29,2017-07-05,101,149,MA+,113.9463,MA-,132.236,11566.9769,1847.2599,0.1597,3414.2368
2017-07-20,2017-08-30,96,29,MA+,139.718,MA-,138.4984,13414.2368,-117.0811,-0.0087,3297.1557
2017-09-05,2018-02-13,94,111,MA+,140.8988,MA-,153.5463,13297.1557,1188.8639,0.0894,4486.0196
2018-02-27,2018-03-29,87,22,MA+,165.6873,MA-,153.9317,14486.0196,-1022.7358,-0.0706,3463.2838
