+------------+--------+--------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close |   MA10 |   MA40 | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+--------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-07 |  96.76 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-10 |  97.09 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-11 |  95.93 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-12 |  94.98 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-13 |  96.26 |        |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-14 |  97.57 |  95.23 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-18 |   96.8 |  95.26 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-19 |  97.59 |  95.74 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-20 |   96.1 |  96.06 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-21 |  95.89 |  96.50 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-24 |  93.17 |  96.14 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-25 |  94.23 |  95.85 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-26 |  93.48 |  95.61 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-27 |  93.11 |  95.42 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-28 |  90.21 |  94.82 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-31 |  92.65 |  94.33 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-01 |  93.57 |  94.00 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-02 |  93.65 |  93.61 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-03 |  95.06 |  93.50 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-04 |  94.67 |  93.38 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-07 |  94.52 |  93.52 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-08 |  95.81 |  93.67 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-09 |   93.8 |  93.70 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-10 |  93.98 |  93.79 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-11 |  92.07 |  93.98 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-14 |  92.61 |  93.97 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-15 |  93.66 |  93.98 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-16 |  92.28 |  93.85 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-17 |   91.8 |  93.52 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-18 |  89.83 |  93.04 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-22 |   89.6 |  92.55 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-23 |  90.66 |  92.03 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-24 |  88.84 |  91.53 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-25 |  88.52 |  90.99 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-28 |  90.37 |  90.82 |        |          |        |          |        |          |           |          | 10000.00 |
| 2000-02-29 |  91.24 |  90.68 |  93.55 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-01 |  91.91 |  90.51 |  93.44 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-02 |  91.97 |  90.47 |  93.42 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-03 |  93.69 |  90.66 |  93.44 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-06 |  92.78 |  90.96 |  93.47 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-07 |  90.98 |  91.10 |  93.33 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-08 |  90.87 |  91.12 |  93.17 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-09 |  93.53 |  91.59 |  93.11 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-10 |  93.03 |  92.04 |  93.06 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-13 |  92.01 |  92.20 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-14 |   90.7 |  92.15 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-15 |  92.82 |  92.24 |  92.68 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-16 |  97.16 |  92.76 |  92.67 |          |        |          |        |          |           |          | 10000.00 |
| 2000-03-17 |   97.8 |  93.17 |  92.71 |   MA+    |  97.05 |          |        |      103 |     93.15 |    77.12 | 10077.12 |
| 2000-03-20 |   97.3 |  93.62 |  92.75 |          |        |          |        |      103 |     93.15 |    25.71 | 10025.71 |
| 2000-03-21 |   99.3 |  94.45 |  92.90 |          |        |          |        |      103 |     93.15 |   231.38 | 10231.38 |
| 2000-03-22 |   99.9 |  95.35 |  93.04 |          |        |          |        |      103 |     93.15 |   293.50 | 10293.50 |
| 2000-03-23 | 101.61 |  96.16 |  93.25 |          |        |          |        |      103 |     93.20 |   469.17 | 10469.17 |
| 2000-03-24 | 102.21 |  97.08 |  93.47 |          |        |          |        |      103 |     93.69 |   531.31 | 10531.31 |
| 2000-03-27 | 101.13 |  97.99 |  93.75 |          |        |          |        |      103 |     93.69 |   419.90 | 10419.90 |
| 2000-03-28 | 100.54 |  98.98 |  93.94 |          |        |          |        |      103 |     93.69 |   359.91 | 10359.91 |
| 2000-03-29 | 100.65 |  99.76 |  94.12 |          |        |          |        |      103 |     93.69 |   370.63 | 10370.63 |
| 2000-03-30 |  98.96 |  99.94 |  94.25 |          |        |          |        |      103 |     93.69 |   197.10 | 10197.10 |
| 2000-03-31 | 100.09 | 100.17 |  94.38 |          |        |          |        |      103 |     93.69 |   312.78 | 10312.78 |
| 2000-04-03 | 100.67 | 100.50 |  94.53 |          |        |          |        |      103 |     93.69 |   372.77 | 10372.77 |
| 2000-04-04 |  99.92 | 100.57 |  94.67 |          |        |          |        |      103 |     93.69 |   295.64 | 10295.64 |
| 2000-04-05 |   99.3 | 100.51 |  94.75 |          |        |          |        |      103 |     93.79 |   231.38 | 10231.38 |
| 2000-04-06 | 100.16 | 100.36 |  94.91 |          |        |          |        |      103 |     93.97 |   320.29 | 10320.29 |
| 2000-04-07 | 100.79 | 100.22 |  95.08 |          |        |          |        |      103 |     93.97 |   385.63 | 10385.63 |
| 2000-04-10 |  100.4 | 100.15 |  95.29 |          |        |          |        |      103 |     94.15 |   344.92 | 10344.92 |
| 2000-04-11 | 100.11 | 100.10 |  95.48 |          |        |          |        |      103 |     94.74 |   314.92 | 10314.92 |
| 2000-04-12 |  97.36 |  99.78 |  95.57 |          |        |          |        |      103 |     95.52 |    32.14 | 10032.14 |
| 2000-04-13 |  96.01 |  99.48 |  95.66 |          |        |          |        |      103 |     95.81 |  -107.11 |  9892.89 |
| 2000-04-14 |  90.52 |  98.52 |  95.63 |          |        |          |        |      103 |     95.81 |  -672.69 |  9327.31 |
| 2000-04-17 |  93.68 |  97.83 |  95.73 |          |        |          |        |      103 |     95.81 |  -347.05 |  9652.95 |
| 2000-04-18 |  96.16 |  97.45 |  95.89 |          |        |          |        |      103 |     96.49 |   -92.11 |  9907.89 |
