Date,DayOfWeek,Holiday
1990-01-01,MON,New Year
1990-01-15,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1990-02-19,MON,President Day
1990-04-13,FRI,Good Friday
1990-05-28,MON,Memorial Day
1990-07-04,WED,Independence Day
1990-09-03,MON,Labor Day
1990-11-22,THU,Thanksgiving
1990-12-25,TUE,Christmas
1991-01-01,TUE,New Year
1991-01-21,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1991-02-18,MON,President Day
1991-03-29,FRI,Good Friday
1991-05-27,MON,Memorial Day
1991-07-04,THU,Independence Day
1991-09-02,MON,Labor Day
1991-11-28,THU,Thanksgiving
1991-12-25,WED,Christmas
1992-01-01,WED,New Year
1992-01-20,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1992-02-17,MON,President Day
1992-04-17,FRI,Good Friday
1992-05-25,MON,Memorial Day
1992-07-03,FRI,Independence Day
1992-09-07,MON,Labor Day
1992-11-26,THU,Thanksgiving
1992-12-25,FRI,Christmas
1993-01-01,FRI,New Year
1993-01-18,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1993-02-15,MON,President Day
1993-04-09,FRI,Good Friday
1993-05-31,MON,Memorial Day
1993-07-05,MON,Independence Day
1993-09-06,MON,Labor Day
1993-11-25,THU,Thanksgiving
1993-12-24,FRI,Christmas
1993-12-31,FRI,New Year
1994-01-17,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1994-02-21,MON,President Day
1994-04-01,FRI,Good Friday
1994-05-30,MON,Memorial Day
1994-07-04,MON,Independence Day
1994-09-05,MON,Labor Day
1994-11-24,THU,Thanksgiving
1994-12-26,MON,Christmas
1995-01-02,MON,New Year
1995-01-16,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1995-02-20,MON,President Day
1995-04-14,FRI,Good Friday
1995-05-29,MON,Memorial Day
1995-07-04,TUE,Independence Day
1995-09-04,MON,Labor Day
1995-11-23,THU,Thanksgiving
1995-12-25,MON,Christmas
1996-01-01,MON,New Year
1996-01-15,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1996-02-19,MON,President Day
1996-04-05,FRI,Good Friday
1996-05-27,MON,Memorial Day
1996-07-04,THU,Independence Day
1996-09-02,MON,Labor Day
1996-11-28,THU,Thanksgiving
1996-12-25,WED,Christmas
1997-01-01,WED,New Year
1997-01-20,MON,Martin Luther King Jr. Day(1-minute pause at noon)
1997-02-17,MON,President Day
1997-03-28,FRI,Good Friday
1997-05-26,MON,Memorial Day
1997-07-04,FRI,Independence Day
1997-09-01,MON,Labor Day
1997-11-27,THU,Thanksgiving
1997-12-25,THU,Christmas
1998-01-01,THU,New Year
1998-01-19,MON,Martin Luther King Jr. Day
1998-02-16,MON,President Day
1998-04-10,FRI,Good Friday
1998-05-25,MON,Memorial Day
1998-07-03,FRI,Independence Day
1998-09-07,MON,Labor Day
1998-11-26,THU,Thanksgiving
1998-12-25,FRI,Christmas
1999-01-01,FRI,New Year
1999-01-18,MON,Martin Luther King Jr. Day
1999-02-15,MON,President Day
1999-04-02,FRI,Good Friday
1999-05-31,MON,Memorial Day
1999-07-05,MON,Independence Day
1999-09-06,MON,Labor Day
1999-11-25,THU,Thanksgiving
1999-12-24,FRI,Christmas
1999-12-31,FRI,New Year
2000-01-17,MON,Martin Luther King Jr. Day
2000-02-21,MON,President Day
2000-04-21,FRI,Good Friday
2000-05-29,MON,Memorial Day
2000-07-04,TUE,Independence Day
2000-09-04,MON,Labor Day
2000-11-23,THU,Thanksgiving
2000-12-25,MON,Christmas
2001-01-01,MON,New Year
2001-01-15,MON,Martin Luther King Jr. Day
2001-02-19,MON,President Day
2001-04-13,FRI,Good Friday
2001-05-28,MON,Memorial Day
2001-07-04,WED,Independence Day
2001-09-03,MON,Labor Day
2001-11-22,THU,Thanksgiving
2001-12-25,TUE,Christmas
2002-01-01,TUE,New Year
2002-01-21,MON,Martin Luther King Jr. Day
2002-02-18,MON,President Day
2002-03-29,FRI,Good Friday
2002-05-27,MON,Memorial Day
2002-07-04,THU,Independence Day
2002-09-02,MON,Labor Day
2002-11-28,THU,Thanksgiving
2002-12-25,WED,Christmas
2003-01-01,WED,New Year
2003-01-20,MON,Martin Luther King Jr. Day
2003-02-17,MON,President Day
2003-04-18,FRI,Good Friday
2003-05-26,MON,Memorial Day
2003-07-04,FRI,Independence Day
2003-09-01,MON,Labor Day
2003-11-27,THU,Thanksgiving
2003-12-25,THU,Christmas
2004-01-01,THU,New Year
2004-01-19,MON,Martin Luther King Jr. Day
2004-02-16,MON,President Day
2004-04-09,FRI,Good Friday
2004-05-31,MON,Memorial Day
2004-07-05,MON,Independence Day
2004-09-06,MON,Labor Day
2004-11-25,THU,Thanksgiving
2004-12-24,FRI,Christmas
2004-12-31,FRI,New Year
2005-01-17,MON,Martin Luther King Jr. Day
2005-02-21,MON,President Day
2005-03-25,FRI,Good Friday
2005-05-30,MON,Memorial Day
2005-07-04,MON,Independence Day
2005-09-05,MON,Labor Day
2005-11-24,THU,Thanksgiving
2005-12-26,MON,Christmas
2006-01-02,MON,New Year
2006-01-16,MON,Martin Luther King Jr. Day
2006-02-20,MON,President Day
2006-04-14,FRI,Good Friday
2006-05-29,MON,Memorial Day
2006-07-04,TUE,Independence Day
2006-09-04,MON,Labor Day
2006-11-23,THU,Thanksgiving
2006-12-25,MON,Christmas
2007-01-01,MON,New Year
2007-01-15,MON,Martin Luther King Jr. Day
2007-02-19,MON,President Day
2007-04-06,FRI,Good Friday
2007-05-28,MON,Memorial Day
2007-07-04,WED,Independence Day
2007-09-03,MON,Labor Day
2007-11-22,THU,Thanksgiving
2007-12-25,TUE,Christmas
2008-01-01,TUE,New Year
2008-01-21,MON,Martin Luther King Jr. Day
2008-02-18,MON,President Day
2008-03-21,FRI,Good Friday
2008-05-26,MON,Memorial Day
2008-07-04,FRI,Independence Day
2008-09-01,MON,Labor Day
2008-11-27,THU,Thanksgiving
2008-12-25,THU,Christmas
2009-01-01,THU,New Year
2009-01-19,MON,Martin Luther King Jr. Day
2009-02-16,MON,President Day
2009-04-10,FRI,Good Friday
2009-05-25,MON,Memorial Day
2009-07-03,FRI,Independence Day
2009-09-07,MON,Labor Day
2009-11-26,THU,Thanksgiving
2009-12-25,FRI,Christmas
2010-01-01,FRI,New Year
2010-01-18,MON,Martin Luther King Jr. Day
2010-02-15,MON,President Day
2010-04-02,FRI,Good Friday
2010-05-31,MON,Memorial Day
2010-07-05,MON,Independence Day
2010-09-06,MON,Labor Day
2010-11-25,THU,Thanksgiving
2010-12-24,FRI,Christmas
2010-12-31,FRI,New Year
2011-01-17,MON,Martin Luther King Jr. Day
2011-02-21,MON,President Day
